"NOM du produit";"Gencod EAN Article";"Gencod EAN Colis";"Gencod EAN Palette";"Code Article Arcadia";PCB;"Listes des ingrédients";"Listes des allergènes";"Origines matières premières";DLC;"Code Douane";"Conseils de réchauffage";"Energie (kcal)";"Energie (kJ)";"Matières grasses (g)";"Acides gras saturés (g)";"Glucides (g)";"Sucres (g)";"Protéines (g)";"Sel (g)"
"PLAT 12 MINI MADELEINE FSTSU 2X144G";3366760037623;13366760037620;23366760037627;6481;2;"4 madeleines au bloc de foie gras et aux pommes caramélisées 33,3% : farine de BLE, OEUF 8,9%, BEURRE concentré, pépites de bloc de foie gras de canard 4,1% (foie gras de canard, eau, Armagnac, sel, sucre, poivre, antioxydant : ascorbate de sodium, conservateur : nitritre de sodium), pommes poêlées caramélisées 3,4% (pommes, sucre, caramel, BEURRE, eau), sirop de sucre inverti, poudre à lever (E450i, E500ii, amidon de BLE), sel, poudre de cacao, épaississant : gomme guar.";"blé, lait, œufs, poisson, traces éventuelles de fruits à coque.";"foie gras : UE des 28
pommes caramélisées : UE des 15
saumon : élevé en Ecosse
agrumes : Espagne, Maroc, Sicile, Grèce
chèvre : UE des 15
tomates : France, Maroc, Pologne, Turquie";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";432;1799;30.3;17.4;29.5;5.6;9.5;1.06
"PLAT 12 MINI MADELEINE FSTSU 2X144G";3366760037623;13366760037620;23366760037627;6481;2;"4 madeleines saumon fumé agrumes 33,3% : farine de BLE, OEUF 9,5%, BEURRE concentré, SAUMON fumé 4,3% (SAUMON 4,2%, sel), sirop de sucre inverti, eau, poudre à lever (E450i, E500ii, amidon de BLE), ciboulette, zeste de citron 0,2%, zeste d'orange 0,2%, jus de citron 0,2%, sel, épaississant : gomme guar.";"blé, lait, œufs, poisson, traces éventuelles de fruits à coque.";"foie gras : UE des 28
pommes caramélisées : UE des 15
saumon : élevé en Ecosse
agrumes : Espagne, Maroc, Sicile, Grèce
chèvre : UE des 15
tomates : France, Maroc, Pologne, Turquie";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLAT 12 MINI MADELEINE FSTSU 2X144G";3366760037623;13366760037620;23366760037627;6481;2;"4 madeleines chèvre tomates séchées 33,3% : farine de BLE, OEUF 9,3%, BEURRE concentré, FROMAGE DE CHEVRE 3,4%,  tomates séchées et marinées 2,8% (tomates, huile de colza, sel, ail, origan), sirop de sucre inverti, poudre à lever (E450i, E500ii, amidon de BLE), arôme naturel, sel, épaississant : gomme guar.";"blé, lait, œufs, poisson, traces éventuelles de fruits à coque.";"foie gras : UE des 28
pommes caramélisées : UE des 15
saumon : élevé en Ecosse
agrumes : Espagne, Maroc, Sicile, Grèce
chèvre : UE des 15
tomates : France, Maroc, Pologne, Turquie";17;19059090;"Micro-ondes (mode de réchauffage conseillé) : 2 minutes à 750W.
Four traditionnel : 5 mn à 180°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PLT CURRY BQ 4/5 PER TRMAR 2X1KG";3248832843762;13248832843769;;8422;2;"Viande de poulet traitée en salaison et cuite 45% (filet de poulet 78%, eau, sel, dextrose, stabilisants : E450 - E 451, arômes, poivre), eau, crème fraîche, carottes, oignons, noix de coco en poudre (protéines de lait), champignons noirs, raisins secs, amidon transformé, sucre, curry 0,7% (contient moutarde), sel, ail, arômes naturels (oeuf - blé - céleri), jus de citron, gingembre.";"celeri,moutarde, gluten de blé,œufs,lait,";"UE, Thailande, argentine";12;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PORC CARAMEL BQ4/5 PERS TRMAR 2X1KG";3248832843755;33248832843756;;8423;2;"Lamelles de porc traitées en salaison cuites 45% (viande de porc 97%, dextrose, sel, stabilisants : E 450 - E 451 - E 452, extrait de romarin), eau, oignons, caramel aromatique 8,5% (sucre, sirop de glucose  et de fructose, eau), sucre,  amidon transformé, sauce soja (eau, soja, farine de blé, sel), sauce nuoc mâm (anchois, sel, sucre, colorant : E 150c), pulpe d\'ail, huile végétale, coriandre, gingembre, colorant : caramel, poivre
";"gluten de blé ,poisson,soja";FRANCE;12;;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"BLANQ VEAU TR 2X2.16KG";3368271205010;03368270202096;;20209;2;"Viande (53%) : bas carré / collier de veau.
Sauce (47%) : eau ; crème ; carotte ; oignon ; champignon de Paris ; poudre de lait entier ; vin blanc réduit ; amidon transformé de manioc ; arômes (dont lait, lactose, blé, gluten) ; sel ;  jaune d'œuf en poudre ; aromates ; fécule de manioc ; jus concentré de citron ; épices.
";"Lait, lactose, blé, gluten, oeuf.";"Veau : Union Européenne.";14;;"BAIN MARIE : 40 à 45 mn dans une casserole d'eau frémissante. Réchauffage dans l'emballage.

FOUR VAPEUR : 40 à 45 mn à 85°/90°C environ. Réchauffage dans l'emballage.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PIZZA BRETON STJACQ FE 4X420G";3366760033243;13366760033240;23366760033247;21314;4;"Pâte cuite 41,6% (farine de BLE, semoule de BLE dur, eau, huile de colza, sel, levure, GLUTEN DE BLE), sauce à la crème légère [eau, crème légère épaisse (crème de LAIT, LAIT, ferments lactiques, épaississant : amidon modifié et pectine), LAIT entier en poudre, farine de BLE, oignon frit déshydraté (oignon, huile de tournesololéique, huile de tournesol), sel, jus de citron, pulpe d'ail, acidifiant : E575, conservateur : E202, poivre], MOZZARELLA, noix de saint jacques cuite 7,7% [Noix de saint-jacques* (contient MOLLUSQUES), vin blanc, sel)], courgettes grillées, champignons (champignons de Paris, eau, sel, acidifiant : acide citrique, antioxydant : acide ascorbique), EMMENTAL, pulpe d'ail, ciboulette, persil.
*Zygochlamys Patagonica : origine Argentine, Uruguay ; Argopecten purpuratus : origine Pérou/Chili ; Argopecten circularis : origine Etats-Unis, Mexique ; Chlamys nobilis : origine Vietnam

Peut contenir des traces de moutarde, œuf et poisson.";"Céréales contenant du gluten
Lait
Mollusques";"Noix saint jacques : Argentine, Pérou, Chili, Etats-Unis
Ail : UE, Amérique du Sud, Asie
Persil : UE";9;1905909000;"Four traditionnel : préchauffer le four 10 minutes à 200°C puis réchauffer 8 minutes à 200°C.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"PIZZA LANDAISE FE 4X420G";3366760033250;13366760033257;23366760033254;21315;4;"INGREDIENTS : 
Pâte cuite 41,6% (farine de BLE, semoule de BLE dur, eau, huile de colza, sel, levure, GLUTEN DE BLE), sauce tomate cuite (purée de tomate mi-réduite, eau, farine de BLE, huile d'olive vierge extra, pulpe d’ail, origan, basilic), MOZZARELLA, magret de canard fumé traité en salaison 8,3% (magret de canard 8%, sel, sel de Guérande, dextrose, arômes, conservateur : sel nitrité, antioxydant : érythorbate de sodium), EMMENTAL, lardons cuits fumés (poitrine de porc, eau, sel, dextrose, antioxydant : érythorbate de sodium, conservateur : nitrite de sodium), figues séchées 1,4% (figues, farine de riz), ciboulette.

Peut contenir des traces de mollusques, moutarde, œuf et poisson.";"Céréales contenant du gluten
Lait";"Magret : Europe
Figues : Turquie";9;1905909000;;0;0;0.0;0.0;0.0;0.0;0.0;0.00
"LANGUE BF SCE PIQ TR 2X1.5KG";3250390738275;03250391226689;;22668;2;"VIande 50% : langue de boeuf
Sauce 50% : eau, oignons, cornichon au vinaigre (corinichon, vinaigre d'alcool) dont sulfites, purée de tomate, vin blanc réduit (dont sulfites), amidon transformé de manioc, aromes naturels (dont gluten, dextrose, ail, oignons, vinaigre de vin (dont sulfites, vinaigre d'alcool, huile de tournesol, moutarde de dijon (dont sulfites, sel, préparation aromatique (vinaigre de vin rouge, eau, extrait de vin blanc, épices, acidifiant, acide acétique, poudre de tomate, aromes (dont sulfites) aromate, colorant : caramel E150c.";;;18;16025039;"Bain marie :
30 à 35 min dans une casserole d'eau frémissante, réchauffage dans l'emballage

Four vapeur :
30 à 35 min, à 85°C/90°C environ, réchauffage dans l'emballage";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"FAUX FLT BOEUF TR 1X2.65KG";3368270229550;93368271229552;23368270229554;22955;1;"Faux filet de boeuf ; amidon transformé de manioc ; sel ; dextrose ; arômes naturels, aromates ; épice.";;"Boeuf : origine UE";14;;"A consommer froid.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"6 AUMON ECREV STJACQ TRFST 12X110G";3507000273139;23507000273133;83507001273134;27313;12;"Crêpe 41% (farine de BLE, LAIT, ŒUFS, sucre, huile de tournesol, sel), queues d'ECREVISSES 17%, NOIX DE SAINT-JACQUES 8% (Zygochlamys Patagonica : origine Argentine/USA, Argopecten purpuratus : origines Pérou/ Chili, Chlamys nobilis : origine Vietnam, Argopecten circularis : origine USA. Chlamys operculis : origine Ecosse, Irlande, Europe, Canada, Chlamys islandica : origine Islande), crème fraiche (LAIT), champignon de Paris, carotte, courgette, eau, vin blanc (dont SULFITES), échalote, vermouth (SULFITES),  farine de BLE, oignons déshydratés, sel, ail, persil, épaississant: gomme xanthane, poivre.
";"Gluten : farine de blé
Lait : lait, crème fraiche
Œufs : œufs
Sulfites : vin blanc, Vermouth
Crustacés : écrevisse
Mollusques : noix de saint jacques
Traces de poisson";"Noix de Saint-Jacques : Zygochlamys Patagonica : origine Argentine/USA, Argopecten purpuratus : origine Pérou /Chili, Chlamys nobilis : origine Vietnam, Argopecten circularis : origine USA, Chlamys opercularis - origine Ecosse / Irlande / Europe / Canada, Chlamys islandica - origine Islande

Ecrevisse : Chine. ";10;1905909000;"Four traditionnel : préchauffer le four à 180°. Sortir les aumônières de la barquette, les placer dans un plat adapté(les laisser dans les coupelles)et recouvrir de papier aluminium. Réchauffer 15 min à 180°C.";137;578;3.9;2.3;16.7;3.3;8.2;0.92
"2 CREPE JAMBON FROM FECG 6X280G";3507000300972;03507001300971;83507001300977;30097;6;"Crêpe 43% : Farine de BLE, LAIT entier frais, OEUFS entiers, sucre, sel, huile de tournesol.
Garniture 57% : Jambon choix 28%* (jambon de porc, eau, sel, sirop de glucose, bouillon de porc deshydraté, chlorure de potassium, conservateurs : érythorbate de sodium, nitrite de sodium), emmental 26% (LAIT)*, crème (LAIT) (dont stabilisant : carraghénanes), eau, amidon transformé de maïs, jus de citron, sel, conservateur : sorbate de potassium, poivre blanc. *pourcentages exprimés sur la garniture. Traces éventuelles de moutarde.";Blé,lait,oeufs.;"Jambon: UE des 15, essentiellement France
Emmental: France";10;1905909000;"Poêle (recommandé) : réchauffer 6 à 7 mn à feu très doux avec une noix de beurre, en retournant une fois les crêpes. 
Four traditionnel : préchauffer le four à 200°C, déposer les crêpes sur une de cuisson puis réchauffer pendant 6 à 7 minutes.
Micro-ondes : 2 mn à 750W.
";211;884;11.0;6.2;17.0;3.5;10.5;1.10
"ROTI VEAU CUIT EPAULE TR 1X2.25KG";3368270317462;93368271317464;23368270317466;31746;1;"Epaule de veau ; arômes naturels ; sel ; plasma de boeuf ; aromates.";NEANT;"Veau : Union Européenne.";14;16025039;"A consommer froid.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"GIGOT D'AGNEAU CUIT TR 1X2KG";3368270333714;93368272333715;23368270333718;33371;1;"Gigot d'agneau ; arômes naturels ; sel ; aromates ; sucre caramélisé ; arôme naturel d'ail.";NEANT;"Gigot: Nouvelle Zélande.";14;16029076;"A consommer froid.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"ROSBEEF FR BOULE MAC TR 1X2.2KG";3368270333752;93368272333753;23368270333756;33375;1;"Boule de macreuse ; dextrose ; sel ; arômes naturels ; aromates.";NEANT;"Boeuf : origine France";14;16025039;"A consommer froid.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"ROTI DE PORC CUIT TR 3X2.5KG";3368270333806;93368271333808;23368270333800;33380;3;"Carré filet de porc ; arômes ; sel ; sucre caramélisé.";NEANT;"Porc : Union Européenne.";14;;"A consommer froid.


";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"ROTI PORC FACON ORLOFF TR 1X2.6KG";3368270370009;93368271370001;93368273700011;37000;1;"Viande 73% : viande de porc 93%*, eau, sel, arômes, colorant : caramel ordinaire. 
Farce 27% : champignon de Paris 30%*, viande de dinde et viande de porc, CREME, EMMENTAL fondu 7%* (EMMENTAL, autres FROMAGES, protéines de LAIT, épaississant : E1412, BEURRE, sel), eau, dés de dinde traités en salaison (viande de dinde, eau, sel, arômes (dont LACTOSE), dextrose, extraits de CELERI et de carotte, sucre, épices, ferments, antioxydant : E316, gélifiants : E508, E407), OEUF, fécule de manioc, farine de SOJA, oignon, préparation FROMAGE aromatisée - note EMMENTAL 1,1%* (LACTOSERUM en poudre, FROMAGE fondu (FROMAGE, sels de fonte : E339, E331 et E452), CREME en poudre, sel, arôme), sel, LAIT entier en poudre, amidon transformé de manioc, aromate, stabilisants : E450 et E451, protéine de LAIT (dont LACTOSE), arômes (dont LACTOSE), épice.";"Lait, lactose, céleri, oeuf, soja.";"Porc : France
Dinde : Union Européenne, Brésil";14;16025039;"A consommer froid ou chaud.";0;0;0.0;0.0;0.0;0.0;0.0;0.00
"AUMON SAUMON CREV TRFST 4X220G";3366760024494;13366760024491;23366760024498;43261;4;"Crêpe 41% (farine de BLE, LAIT, ŒUFS, sucre, huile de tournesol, sel), SAUMON 11%, CREVETTES 8%, crème fraiche (LAIT), eau, carotte, champignon de Paris, SAUMON fumé 3% (SAUMON, sel), vin blanc (dont SULFITES), Vermouth modifié (SULFITES)), farine de BLE, échalote, oignon deshydraté, sel, sucre, oignon en poudre, épaississant: gomme xanthane, aneth, ail en poudre, poivre, curcuma.";"Gluten : farine de blé
Lait : lait, crème fraiche
Œufs : œufs
Sulfites : vin blanc, Vermouth
Crustacés : crevette
Poisson : saumon, saumon fumé";"Crevette : Bengladesh
Saumon : Norvège
Saumon fumé :  Irlande, Ecosse, Norvège
";10;1905909000;"Four traditionnel : préchauffer le four à 180°. Sortir les aumônières de la barquette, les placer dans un plat adapté(les laisser dans les coupelles)et recouvrir de papier aluminium. Réchauffer 15 min à 180°C. ";154;648;5.4;2.7;16.6;4.1;9.3;1.17
"AUMON ECREV STJACQ TRFST 4X220G";3366760024500;13366760024507;23366760024504;43262;4;"Crêpe 41% (farine de BLE, LAIT, ŒUFS, sucre, huile de tournesol, sel), queues d'ECREVISSES 17%, NOIX DE SAINT-JACQUES 8% (Zygochlamys Patagonica : origine Argentine/USA, Argopecten purpuratus : origines Pérou/ Chili, Chlamys nobilis : origine Vietnam, Argopecten circularis : origine USA. Chlamys operculis : origine Ecosse, Irlande, Europe, Canada, Chlamys islandica : origine Islande), crème fraiche (LAIT), champignon de Paris, carotte, courgette, eau, vin blanc (dont SULFITES), échalote, vermouth (SULFITES),  farine de BLE, oignons déshydratés, sel, ail, persil, épaississant: gomme xanthane, poivre.";" Gluten : farine de blé
Lait : lait, crème fraiche
Œufs : œufs
Sulfites : vin blanc, Vermouth
Crustacés : crevette
Mollusques : écrevisse ";"Zygochlamys Patagonica : origine Argentine/USA, Argopecten purpuratus : origine Pérou /Chili, Chlamys nobilis : origine Vietnam, Argopecten circularis : origine USA, Chlamys opercularis - origine Ecosse / Irlande / Europe / Canada, Chlamys islandica - origine Islande

Ecrevisse : Chine";10;1905909000;"Four traditionnel : préchauffer le four à 180°. Sortir les aumônières de la barquette, les placer dans un plat adapté(les laisser dans les coupelles)et recouvrir de papier aluminium. Réchauffer 15 min à 180°C.  ";137;578;3.9;2.3;16.7;3.3;8.2;0.92
"AUMONIERE RIS VEAU  FEFST 4X220G";3366760024517;13366760024514;23366760024511;43263;4;"Crêpe 41% (farine de BLE, LAIT, ŒUFS, sucre, huile de tournesol, sel), champignons de Paris, crème fraiche (LAIT), ris de veau traité en salaison 8% (ris de veau, sel, protéine de LAIT, lactose (LAIT)), eau, quenelle de volaille (OEUFS, semoule de BLE dur, eau, viande de dinde, huile de colza non hydrogénée, blanc d'OEUFS, sel, arôme naturel), viande de poulet rôti (poulet, sel, dextrose), vin blanc (SULFITE), Madère modifié (dont colorant: caramel au SULFITE d'ammonium), farine de BLE, échalote, Vermouth (SULFITE), oignon déshydraté, sel, Cognac modifié (dont colorant: caramel ordinaire), oignon en poudre, sucre, épaississant: gomme xanthane, ail en poudre, arôme (LAIT), poivre.";"Gluten: farine de blé
Lait: lait, crème fraiche
Œufs: œufs
Sulfites: vin blanc, Vermouth

Traces éventuelles de mollusques, poissons, crustacés
";"Ris de veau : Hollande
Dinde : Union Européenne
Poulet : Union Européenne
Champignons : France";10;;"Au four traditionnel : sortir les aumônières de la barquette (les laisser dans les coupelles) et les mettre 15 min au four préchauffé à 180°C.";147;620;5.2;3.0;18.5;3.3;6.2;1.12
"6 AUMON SAUMON CREV TRFST 12X110G";3366760024456;13366760024453;23366760024450;43265;12;"Crêpe 41% (farine de BLE, LAIT, ŒUFS, sucre, huile de tournesol, sel), SAUMON 11%, CREVETTES 8%, crème fraiche (LAIT), eau, carotte, champignon de Paris, SAUMON fumé 3% (SAUMON, sel), vin blanc (dont SULFITES), Vermouth modifié (SULFITES)), farine de BLE, échalote, oignon deshydraté, sel, sucre, oignon en poudre, épaississant: gomme xanthane, aneth, ail en poudre, poivre, curcuma.";"Gluten: farine de blé
Lait: lait, crème fraiche
Œufs: œufs
Sulfites: vin blanc, Vermouth
Crustacés:  crevette
Poisson: saumon, saumon fumé
";"Crevette : Bengladesh
Saumon : Norvège
Saumon fumé :  Irlande, Ecosse, Norvège";10;1905909000;"Four traditionnel : préchauffer le four à 180°. Sortir les aumônières de la barquette, les placer dans un plat adapté(les laisser dans les coupelles)et recouvrir de papier aluminium. Réchauffer 15 min à 180°C.";154;648;5.4;2.7;16.6;4.1;9.3;1.17
